Scenario,Load_TPS,SR_mean,SR_std,P95_mean,P95_std,P99_mean,P99_std,N,SR_CI_L,SR_CI_U,P95_CI_L,P95_CI_U,P99_CI_L,P99_CI_U,SuccessRate (Mean±CI),P95 (Mean±CI),P99 (Mean±CI)
S1: Public Internet,1,99.59141836240552,0.6967748887336684,1.929644145011444,0.2334134330255695,2.507261502183539,0.31823394899639074,30,99.34208067068464,99.8407560541264,1.8461182207161313,2.013170069306757,2.3933829460630816,2.6211400583039963,99.59 ± 0.25,1.930 ± 0.084,2.507 ± 0.114
S1: Public Internet,5,99.7556017369545,0.2997109786321077,2.0709470064354023,0.14341583466124289,2.812448351120777,0.2727996195069386,30,99.64835154065172,99.86285193325729,2.019626309107105,2.1222677037636997,2.7148282610026966,2.9100684412388578,99.76 ± 0.11,2.071 ± 0.051,2.812 ± 0.098
S1: Public Internet,10,99.80168989805838,0.2189645288219187,2.0632513220021154,0.08800834612801008,2.7924178007825913,0.2033445041301986,30,99.7233344477286,99.88004534838817,2.0317579398057335,2.0947447041984972,2.719651904502807,2.8651836970623754,99.80 ± 0.08,2.063 ± 0.031,2.792 ± 0.073
S1: Public Internet,20,97.70181941525713,0.4183023755216822,4.722325282475906,0.12534740568806957,6.314509556693845,0.2587212213180887,30,97.5521318325954,97.85150699791886,4.677470289417436,4.767180275534376,6.221927356666659,6.407091756721031,97.70 ± 0.15,4.722 ± 0.045,6.315 ± 0.093
S1: Public Internet,30,91.50671070992874,0.6745107384636866,7.855867022140515,0.15866934981130254,10.286734922515821,0.27376550153602125,30,91.2653401420612,91.74808127779627,7.7990879245173135,7.912646119763717,10.188769195952599,10.384700649079043,91.51 ± 0.24,7.856 ± 0.057,10.287 ± 0.098
S1: Public Internet,40,91.21508998471967,0.5615726512836042,10.045064820610504,0.1941618715464377,12.856837576533914,0.27466205293691565,30,91.0141337923128,91.41604617712653,9.975584887199613,10.114544754021395,12.75855102317222,12.955124129895609,91.22 ± 0.20,10.045 ± 0.069,12.857 ± 0.098
S1: Public Internet,50,89.87384955230841,0.5433496891458103,11.645173808964325,0.16518952510915574,13.944130747406414,0.1414096790022239,30,89.67941436315414,90.06828474146269,11.586061496575969,11.70428612135268,13.89352794366088,13.994733551151947,89.87 ± 0.19,11.645 ± 0.059,13.944 ± 0.051
S2: Private APN (Atheer) [Network-only],1,100.0,0.0,0.2322072223800696,0.006754707062887311,0.24946808624915193,0.015135434615877115,30,100.0,100.0,0.22979008150065014,0.23462436325948907,0.24405194053073512,0.25488423196756876,100.00 ± 0.00,0.232 ± 0.002,0.249 ± 0.005
S2: Private APN (Atheer) [Network-only],5,100.0,0.0,0.23442826717521675,0.003847528399656991,0.25630551157116416,0.008513996303567688,30,100.0,100.0,0.23305144681972928,0.23580508753070423,0.25325881712224413,0.2593522060200842,100.00 ± 0.00,0.234 ± 0.001,0.256 ± 0.003
S2: Private APN (Atheer) [Network-only],10,100.0,0.0,0.23452037122425312,0.0020236067408502564,0.2540835562050583,0.00392906173168614,30,100.0,100.0,0.23379623285205745,0.2352445095964488,0.2526775595214121,0.2554895528887045,100.00 ± 0.00,0.235 ± 0.001,0.254 ± 0.001
S2: Private APN (Atheer) [Network-only],20,100.0,0.0,0.23475952565087166,0.0015701349792925192,0.2560715086061921,0.004314910013308686,30,100.0,100.0,0.23419766006450052,0.2353213912372428,0.2545274378882346,0.2576155793241496,100.00 ± 0.00,0.235 ± 0.001,0.256 ± 0.002
S2: Private APN (Atheer) [Network-only],30,100.0,0.0,0.23506736959597302,0.0014363247276856163,0.25793046147888604,0.004292730790926733,30,100.0,100.0,0.23455338739317919,0.23558135179876685,0.2563943274937275,0.2594665954640446,100.00 ± 0.00,0.235 ± 0.001,0.258 ± 0.002
S2: Private APN (Atheer) [Network-only],40,100.0,0.0,0.23498575581726272,0.0012576510398452994,0.2570891769360871,0.002857560094362083,30,100.0,100.0,0.23453571117252056,0.23543580046200488,0.25606661218898946,0.2581117416831848,100.00 ± 0.00,0.235 ± 0.000,0.257 ± 0.001
S2: Private APN (Atheer) [Network-only],50,100.0,0.0,0.23510967608522843,0.0009761391605688036,0.2572352168512442,0.002478675949250021,30,100.0,100.0,0.2347603691727234,0.23545898299773346,0.256348234054213,0.2581221996482754,100.00 ± 0.00,0.235 ± 0.000,0.257 ± 0.001
